,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Headline,Source,Market_Event,Market_Index,Index_Change_Percent,Trading_Volume,Sentiment,Sector,Impact_Level,Related_Company,News_Url,text_clean,label_id,ESG_Label,Impact_Level_Code,ESG_Controversy,Year,Sentiment_Code
1487,1487,1487,1487,1487,2025-04-05,Consumer confidence index reaches a decade high,Business Standard,Regulatory Compliance Failure,ASX 200,-0.28,239.26,Positive,Media & Entertainment,Low,Ford Motor Company,https://www.theeconomist.com/world/government-policy-announcement,consumer confidence index reaches a decade high,0,Governance,0,0,2025,1.0
1488,1488,1488,1488,1488,2025-06-06,Semiconductor shortages weigh heavily on tech sector profits,The Motley Fool,Product Safety Recall,CAC 40,0.49,302.16,Positive,Pharmaceuticals,Medium,Lockheed Martin,https://www.wsj.com/europe/dax-performance,semiconductor shortages weigh heavily on tech sector profits,3,Social,1,1,2025,1.0
1489,1489,1489,1489,1489,2025-06-15,Consumer Discretionary stocks outperform as spending increases,Barron's,Carbon Emissions Violation,S&P/TSX Composite,4.3,185.41,Positive,Utilities,Medium,Intel,https://www.marketwatch.com/story/commodities-price-shock,consumer discretionary stocks outperform as spending increases,2,Environmental,1,1,2025,1.0
1490,1490,1490,1490,1490,2025-06-03,Major oil spill sends energy stocks plummeting,Yahoo Finance,Human Rights Allegation,Dow Jones,2.63,122.02,,Utilities,Medium,Ford Motor Company,https://timesofindia.indiatimes.com/business/corporate-governance,major oil spill sends energy stocks plummeting,17,Social,1,1,2025,
1491,1491,1491,1491,1491,2025-07-18,Bond yields tumble as investors seek safe havens,The Economist,Antitrust Investigation,S&P 500,0.02,427.93,Negative,Transportation,High,Microsoft,https://www.cnbc.com/2025/12/healthcare-sector-outlook,bond yields tumble as investors seek safe havens,9,Governance,2,1,2025,-1.0
1492,1492,1492,1492,1492,2025-04-25,Supply chain issues impact manufacturing sector earnings,Bloomberg,Human Rights Allegation,Dow Jones,2.05,69.27,Positive,Finance,Low,JPMorgan Chase,https://www.reuters.com/markets/indices/nikkei-225,supply chain issues impact manufacturing sector earnings,17,Social,0,0,2025,1.0
1493,1493,1493,1493,1493,2025-05-12,New IPO for a popular software firm is oversubscribed,Business Standard,Executive Misconduct,BSE Sensex,3.0,274.07,Positive,Pharmaceuticals,Medium,Apple Inc.,https://www.moneycontrol.com/us-markets/sp-500,new ipo for a popular software firm is oversubscribed,15,Governance,1,1,2025,1.0
1494,1494,1494,1494,1494,2025-02-09,Supply chain issues impact manufacturing sector earnings,Times of India,Antitrust Investigation,IBOVESPA,-3.85,48.09,Positive,Transportation,Low,Exxon Mobil,https://www.bloomberg.com/canada/tsunami-warnings,supply chain issues impact manufacturing sector earnings,18,Governance,0,0,2025,1.0
1495,1495,1495,1495,1495,2025-06-03,Mining company stock surges on commodity price boom,Barron's,Accounting Fraud Investigation,Dow Jones,-1.55,300.22,Negative,Technology,High,Lockheed Martin,https://www.business-standard.com/finance/corporate-earnings,mining company stock surges on commodity price boom,13,Governance,2,1,2025,-1.0
1496,1496,1496,1496,1496,2025-07-14,Record-high inflation data rattles investors,Reuters,Executive Misconduct,S&P 500,1.28,21.67,Positive,Real Estate,Medium,General Motors,https://www.ft.com/content/geopolitical-summit,record high inflation data rattles investors,11,Governance,1,1,2025,1.0
1497,1497,1497,1497,1497,2025-04-11,Record-high inflation data rattles investors,Business Standard,Environmental Spill,IBOVESPA,-4.25,261.38,Negative,Transportation,High,Bank of America,https://www.business-standard.com/economy/trade-disputes-impact,record high inflation data rattles investors,2,Environmental,2,1,2025,-1.0
1498,1498,1498,1498,1498,2025-05-24,Supply chain issues impact manufacturing sector earnings,Mint,Antitrust Investigation,Nikkei 225,4.13,57.89,Negative,Technology,Low,Chevron Corporation,https://www.moneycontrol.com/us-markets/nasdaq-composite,supply chain issues impact manufacturing sector earnings,16,Governance,0,0,2025,-1.0
1499,1499,1499,1499,1499,2025-07-16,Semiconductor shortages weigh heavily on tech sector profits,Times of India,Executive Misconduct,TSX,-2.03,154.89,Negative,Healthcare,High,Chevron Corporation,https://www.bloomberg.com/canada/tsunami-warnings,semiconductor shortages weigh heavily on tech sector profits,10,Governance,2,1,2025,-1.0
1500,1500,1500,1500,1500,2025-03-21,Supply chain issues impact manufacturing sector earnings,Barron's,Executive Misconduct,Dow Jones,3.79,236.72,Negative,Media & Entertainment,Medium,Intel,https://www.reuters.com/markets/indices/ftse-100,supply chain issues impact manufacturing sector earnings,16,Governance,1,1,2025,-1.0
1501,1501,1501,1501,1501,2025-03-08,Aerospace and Defense sector sees rally amid geopolitical tensions,Wall Street Journal,Antitrust Investigation,DAX,4.58,40.74,Negative,Telecommunications,High,Intel,https://www.wsj.com/china/market-regulation,aerospace and defense sector sees rally amid geopolitical tensions,6,Governance,2,1,2025,-1.0
1502,1502,1502,1502,1502,2025-06-09,Nikkei 225 index benefits from a weaker yen,The Hindu Business Line,Regulatory Compliance Failure,Nasdaq Composite,-4.75,90.72,Neutral,Aerospace & Defense,Medium,JPMorgan Chase,https://www.cnbc.com/2025/08/russia-ukraine-war-economic-impact,nikkei 225 index benefits from a weaker yen,1,Governance,1,1,2025,0.0
1503,1503,1503,1503,1503,2025-06-06,Mining company stock surges on commodity price boom,Bloomberg,Executive Misconduct,S&P 500,-3.06,216.68,Negative,Telecommunications,High,Ford Motor Company,https://www.cnbc.com/2025/11/major-merger-deal-approved,mining company stock surges on commodity price boom,10,Governance,2,1,2025,-1.0
1504,1504,1504,1504,1504,2025-02-15,Central Bank's dovish tone hints at future rate cuts,The Economist,Executive Misconduct,ASX 200,3.62,100.07,Negative,Telecommunications,High,Bank of America,https://www.ft.com/content/media-entertainment-merger,central bank's dovish tone hints at future rate cuts,15,Governance,2,1,2025,-1.0
1505,1505,1505,1505,1505,2025-06-22,Utilities sector remains stable during market fluctuations,Reuters,Executive Misconduct,CAC 40,2.09,57.07,Negative,Healthcare,High,Chevron Corporation,https://www.moneycontrol.com/us-markets/dow-jones-industrial,utilities sector remains stable during market fluctuations,12,Governance,2,1,2025,-1.0
1506,1506,1506,1506,1506,2025-03-25,Consumer Discretionary stocks outperform as spending increases,Seeking Alpha,Accounting Fraud Investigation,S&P 500,-3.62,29.34,Negative,Utilities,High,Apple Inc.,https://www.reuters.com/markets/indices/ftse-100,consumer discretionary stocks outperform as spending increases,5,Governance,2,1,2025,-1.0
1507,1507,1507,1507,1507,2025-05-22,Major technology firm acquires a smaller rival in a multi-billion dollar deal,Financial Times,Product Safety Recall,CAC 40,1.34,411.79,Neutral,Media & Entertainment,Low,Ford Motor Company,https://www.investopedia.com/articles/government-policy-announcement,major technology firm acquires a smaller rival in a multi billion dollar deal,19,Social,0,0,2025,0.0
1508,1508,1508,1508,1508,2025-02-15,E-commerce earnings report beats all analyst expectations,Bloomberg,Antitrust Investigation,Russell 2000,-0.35,455.71,Negative,Pharmaceuticals,Medium,Chevron Corporation,https://www.cnbc.com/2025/09/automotive-industry-trends,e commerce earnings report beats all analyst expectations,16,Governance,1,1,2025,-1.0
1509,1509,1509,1509,1509,2025-05-23,Central bank maintains status quo on interest rates,Economic Times,Antitrust Investigation,Dow Jones,0.79,423.64,Positive,Transportation,Medium,Apple Inc.,https://www.ft.com/content/consumer-confidence-report,central bank maintains status quo on interest rates,18,Governance,1,1,2025,1.0
1510,1510,1510,1510,1510,2025-03-16,Government spending bill is expected to stimulate the economy,Financial Times,Water Pollution Incident,CAC 40,-2.74,460.8,Negative,Media & Entertainment,Medium,Ford Motor Company,https://www.reuters.com/markets/indices/nikkei-225,government spending bill is expected to stimulate the economy,2,Environmental,1,1,2025,-1.0
1511,1511,1511,1511,1511,2025-08-12,"Global trade talks collapse, causing market turmoil",Reuters,Regulatory Compliance Failure,NSE Nifty,-0.4,423.33,Negative,Energy,Medium,Bank of America,https://www.cnbc.com/2025/10/real-estate-market-analysis,"global trade talks collapse, causing market turmoil",16,Governance,1,1,2025,-1.0
1512,1512,1512,1512,1512,2025-04-04,Healthcare stocks gain on robust demand and strong outlook,MarketWatch,Antitrust Investigation,Hang Seng,2.37,106.53,Neutral,Technology,Low,Exxon Mobil,https://www.business-standard.com/economy/economic-stimulus,healthcare stocks gain on robust demand and strong outlook,1,Governance,0,0,2025,0.0
1513,1513,1513,1513,1513,2025-03-13,Automotive industry faces headwinds from rising material costs,The Economist,Regulatory Compliance Failure,Nasdaq Composite,-1.43,259.55,Positive,Agriculture,Low,General Motors,https://www.business-standard.com/finance/corporate-earnings,automotive industry faces headwinds from rising material costs,5,Governance,0,0,2025,1.0
1514,1514,1514,1514,1514,2025-04-25,Quarterly report shows surprising losses for retail giants,The Economist,Accounting Fraud Investigation,TSX,0.01,312.71,Negative,Automotive,High,General Motors,https://www.moneycontrol.com/us-markets/nasdaq-composite,quarterly report shows surprising losses for retail giants,12,Governance,2,1,2025,-1.0
1515,1515,1515,1515,1515,2025-03-21,Gold prices surge as investors flee riskier assets,Bloomberg,Carbon Emissions Violation,S&P/TSX Composite,-4.39,487.38,Neutral,Agriculture,Medium,JPMorgan Chase,https://www.cnbc.com/2025/11/major-merger-deal-approved,gold prices surge as investors flee riskier assets,2,Environmental,1,1,2025,0.0
1516,1516,1516,1516,1516,2025-04-10,Financial services stocks rally on strong profit margins,Bloomberg,Antitrust Investigation,S&P 500,2.45,434.21,Positive,Pharmaceuticals,Low,Exxon Mobil,https://timesofindia.indiatimes.com/business/agriculture-sector,financial services stocks rally on strong profit margins,1,Governance,0,0,2025,1.0
1517,1517,1517,1517,1517,2025-03-16,Manufacturing PMI data signals economic expansion,Reuters,Accounting Fraud Investigation,TSX,-0.55,58.52,Negative,Consumer Goods,Medium,Ford Motor Company,https://www.investopedia.com/articles/government-policy-announcement,manufacturing pmi data signals economic expansion,14,Governance,1,1,2025,-1.0
1518,1518,1518,1518,1518,2025-03-31,Major technology firm acquires a smaller rival in a multi-billion dollar deal,CNBC,Accounting Fraud Investigation,NSE Nifty,0.2,378.26,Negative,Construction,High,Bank of America,https://www.theeconomist.com/world/government-policy-announcement,major technology firm acquires a smaller rival in a multi billion dollar deal,4,Governance,2,1,2025,-1.0
1519,1519,1519,1519,1519,2025-04-05,Aerospace and Defense sector sees rally amid geopolitical tensions,Mint,Regulatory Compliance Failure,IBOVESPA,3.86,253.76,Negative,Aerospace & Defense,High,Ford Motor Company,https://www.marketwatch.com/story/consumer-goods-report,aerospace and defense sector sees rally amid geopolitical tensions,12,Governance,2,1,2025,-1.0
1520,1520,1520,1520,1520,2025-03-24,,Reuters,Executive Misconduct,S&P/TSX Composite,0.46,303.06,Negative,Construction,Medium,Microsoft,https://www.theeconomist.com/finance-and-economics/trade-tariffs,,14,Governance,1,1,2025,-1.0
1521,1521,1521,1521,1521,2025-03-16,ASX 200 gains on strong export performance,Bloomberg,Executive Misconduct,KOSPI,3.59,441.76,Neutral,Agriculture,Medium,Microsoft,https://www.cnbc.com/2025/09/automotive-industry-trends,asx 200 gains on strong export performance,4,Governance,1,1,2025,0.0
1522,1522,1522,1522,1522,2025-06-02,Government subsidy program gives a lift to the agriculture sector,The Motley Fool,Accounting Fraud Investigation,DAX,-0.3,481.52,Negative,Media & Entertainment,Medium,JPMorgan Chase,https://www.cnbc.com/2025/10/real-estate-market-analysis,government subsidy program gives a lift to the agriculture sector,16,Governance,1,1,2025,-1.0
1523,1523,1523,1523,1523,2025-07-09,Financial services stocks rally on strong profit margins,Reuters,Accounting Fraud Investigation,IBOVESPA,-4.38,39.7,Negative,Energy,High,Chevron Corporation,https://www.marketwatch.com/story/commodities-price-shock,financial services stocks rally on strong profit margins,6,Governance,2,1,2025,-1.0
1524,1524,1524,1524,1524,2025-04-30,Tech Giant's New Product Launch Sparks Sector-Wide Gains,Reuters,Antitrust Investigation,Dow Jones,-3.93,484.2,Neutral,Aerospace & Defense,Low,Exxon Mobil,https://www.cnbc.com/2025/10/real-estate-market-analysis,tech giant's new product launch sparks sector wide gains,1,Governance,0,0,2025,0.0
1525,1525,1525,1525,1525,2025-04-05,Gold prices surge as investors flee riskier assets,CNBC,Executive Misconduct,Nikkei 225,,114.3,Negative,Consumer Goods,Low,JPMorgan Chase,https://www.bloomberg.com/asia/policy/central-bank-meeting,gold prices surge as investors flee riskier assets,9,Governance,0,0,2025,-1.0
1526,1526,1526,1526,1526,2025-06-28,Major oil spill sends energy stocks plummeting,Business Standard,Executive Misconduct,IBOVESPA,0.6,311.53,Positive,Utilities,Medium,Chevron Corporation,https://timesofindia.indiatimes.com/business/markets/stock-market-crash,major oil spill sends energy stocks plummeting,14,Governance,1,1,2025,1.0
1527,1527,1527,1527,1527,2025-05-31,Market braces for a major policy announcement from the EU,Times of India,Antitrust Investigation,ASX 200,-4.38,71.88,Neutral,Finance,Medium,Exxon Mobil,https://www.marketwatch.com/story/consumer-goods-report,market braces for a major policy announcement from the eu,6,Governance,1,1,2025,0.0
1528,1528,1528,1528,1528,2025-03-02,Crude oil prices drop to a multi-year low,Financial Times,Antitrust Investigation,KOSPI,2.34,20.42,Neutral,Aerospace & Defense,Low,Ford Motor Company,https://www.reuters.com/business/retail-sector-earnings,crude oil prices drop to a multi year low,11,Governance,0,0,2025,0.0
1529,1529,1529,1529,1529,2025-04-16,Financial sector bracing for new capital requirements,CNBC,Accounting Fraud Investigation,Shanghai Composite,4.72,154.67,Positive,Aerospace & Defense,Medium,General Motors,,financial sector bracing for new capital requirements,14,Governance,1,1,2025,1.0
1530,1530,1530,1530,1530,2025-05-12,Banking stocks dip after a major scandal is revealed,MarketWatch,Worker Strike,FTSE 100,1.62,358.29,Neutral,Energy,Low,Exxon Mobil,https://www.wsj.com/japan/economic-data-release,banking stocks dip after a major scandal is revealed,19,Social,0,0,2025,0.0
1531,1531,1531,1531,1531,2025-03-30,Automotive industry faces headwinds from rising material costs,Bloomberg,Accounting Fraud Investigation,TSX,-1.27,426.84,Negative,Pharmaceuticals,High,Intel,https://economictimes.indiatimes.com/news/transportation,automotive industry faces headwinds from rising material costs,7,Governance,2,1,2025,-1.0
1532,1532,1532,1532,1532,2025-05-29,Healthcare stocks gain on robust demand and strong outlook,Times of India,Accounting Fraud Investigation,TSX,-1.09,498.08,Negative,Consumer Goods,Medium,General Motors,https://economictimes.indiatimes.com/news/economy/unemployment-rate,healthcare stocks gain on robust demand and strong outlook,13,Governance,1,1,2025,-1.0
1533,1533,1533,1533,1533,2025-05-24,Manufacturing PMI data signals economic expansion,Business Standard,Regulatory Compliance Failure,ASX 200,-1.65,219.14,Neutral,Pharmaceuticals,Medium,Intel,https://www.ft.com/content/media-entertainment-merger,manufacturing pmi data signals economic expansion,7,Governance,1,1,2025,0.0
1534,1534,1534,1534,1534,2025-05-14,,Seeking Alpha,Antitrust Investigation,Nikkei 225,0.51,199.67,Neutral,Retail,Low,Microsoft,https://www.ft.com/content/geopolitical-summit,,5,Governance,0,0,2025,0.0
1535,1535,1535,1535,1535,2025-05-27,Consumer confidence index reaches a decade high,Reuters,Regulatory Compliance Failure,ASX 200,,416.71,Positive,Industrials,Medium,Bank of America,https://www.bloomberg.com/asia/policy/central-bank-meeting,consumer confidence index reaches a decade high,0,Governance,1,1,2025,1.0
1536,1536,1536,1536,1536,2025-06-27,Media and Entertainment companies report a surge in streaming revenue,Forbes,Labor Rights Violation,Nikkei 225,-1.24,45.65,Negative,Construction,High,Chevron Corporation,https://economictimes.indiatimes.com/news/transportation,media and entertainment companies report a surge in streaming revenue,17,Social,2,1,2025,-1.0
1537,1537,1537,1537,1537,2025-06-22,Semiconductor shortages weigh heavily on tech sector profits,Seeking Alpha,Regulatory Compliance Failure,S&P/TSX Composite,-4.22,464.47,Negative,Construction,High,JPMorgan Chase,https://timesofindia.indiatimes.com/business/finance/banking-sector-news,semiconductor shortages weigh heavily on tech sector profits,16,Governance,2,1,2025,-1.0
1538,1538,1538,1538,1538,2025-05-17,China's Shanghai Composite falls after new trade restrictions,Financial Times,Antitrust Investigation,Nasdaq Composite,1.96,96.3,Negative,Agriculture,High,JPMorgan Chase,https://www.business-standard.com/international-business/trade-policy,china's shanghai composite falls after new trade restrictions,13,Governance,2,1,2025,-1.0
1539,1539,1539,1539,1539,2025-07-03,Unexpected rise in unemployment fuels market pessimism,CNBC,Regulatory Compliance Failure,IBOVESPA,,100.84,Negative,Aerospace & Defense,Medium,Chevron Corporation,https://www.marketwatch.com/story/commodities-price-shock,unexpected rise in unemployment fuels market pessimism,13,Governance,1,1,2025,-1.0
1540,1540,1540,1540,1540,2025-06-05,Nikkei 225 index benefits from a weaker yen,Forbes,Worker Strike,CAC 40,-1.47,454.01,Positive,Media & Entertainment,Medium,General Motors,https://economictimes.indiatimes.com/industry/industrials,nikkei 225 index benefits from a weaker yen,17,Social,1,1,2025,1.0
1541,1541,1541,1541,1541,2025-04-11,Healthcare stocks gain on robust demand and strong outlook,Financial Times,Executive Misconduct,S&P/TSX Composite,-1.1,425.07,Negative,Transportation,High,Lockheed Martin,https://economictimes.indiatimes.com/news/transportation,healthcare stocks gain on robust demand and strong outlook,11,Governance,2,1,2025,-1.0
1542,1542,1542,1542,1542,2025-05-06,New regulations on cryptocurrencies cause a market dip,CNBC,Regulatory Compliance Failure,BSE Sensex,,41.03,Positive,Healthcare,Low,Ford Motor Company,https://www.wsj.com/china/market-rally,new regulations on cryptocurrencies cause a market dip,5,Governance,0,0,2025,1.0
1543,1543,1543,1543,1543,2025-03-09,Record-high inflation data rattles investors,MarketWatch,Regulatory Compliance Failure,Russell 2000,1.5,43.94,Positive,Industrials,Low,Lockheed Martin,https://www.marketwatch.com/story/consumer-goods-report,record high inflation data rattles investors,1,Governance,0,0,2025,1.0
1544,1544,1544,1544,1544,2025-04-22,Real Estate sector shows signs of overheating as interest rates fall,Financial Times,Antitrust Investigation,BSE Sensex,-4.68,405.11,Negative,Construction,High,Lockheed Martin,https://www.ft.com/content/consumer-confidence-report,real estate sector shows signs of overheating as interest rates fall,7,Governance,2,1,2025,-1.0
1545,1545,1545,1545,1545,2025-08-06,Gold prices surge as investors flee riskier assets,Times of India,Accounting Fraud Investigation,Dow Jones,0.21,151.56,Neutral,Materials,Medium,JPMorgan Chase,https://www.marketwatch.com/story/commodities-price-shock,gold prices surge as investors flee riskier assets,16,Governance,1,1,2025,0.0
1546,1546,1546,1546,1546,2025-04-28,Central Bank Governor signals potential shift in policy,MarketWatch,Product Safety Recall,Shanghai Composite,0.96,210.56,Negative,Real Estate,Medium,Intel,https://www.wsj.com/china/market-regulation,central bank governor signals potential shift in policy,19,Social,1,1,2025,-1.0
1547,1547,1547,1547,1547,2025-03-13,China's Shanghai Composite falls after new trade restrictions,Times of India,Accounting Fraud Investigation,Shanghai Composite,-3.73,389.92,Negative,Pharmaceuticals,Low,General Motors,https://www.bloomberg.com/asia/policy/central-bank-meeting,china's shanghai composite falls after new trade restrictions,10,Governance,0,0,2025,-1.0
1548,1548,1548,1548,1548,2025-08-02,A massive data breach sends a tech company's stock tumbling,Forbes,Environmental Spill,Nikkei 225,1.02,408.58,Positive,Real Estate,Low,Apple Inc.,https://www.business-standard.com/economy/economic-stimulus,a massive data breach sends a tech company's stock tumbling,2,Environmental,0,0,2025,1.0
1549,1549,1549,1549,1549,2025-08-02,Financial services stocks rally on strong profit margins,Forbes,Accounting Fraud Investigation,KOSPI,1.03,486.58,Positive,Pharmaceuticals,Low,General Motors,https://www.wsj.com/japan/economic-data-release,financial services stocks rally on strong profit margins,11,Governance,0,0,2025,1.0
1550,1550,1550,1550,1550,2025-08-06,Government policy shift boosts renewable energy sector,Business Standard,Executive Misconduct,Shanghai Composite,-2.48,167.01,Negative,Materials,High,Ford Motor Company,https://www.wsj.com/europe/regulatory-changes,government policy shift boosts renewable energy sector,15,Governance,2,1,2025,-1.0
1551,1551,1551,1551,1551,2025-05-06,Supply chain issues impact manufacturing sector earnings,Reuters,Antitrust Investigation,Nikkei 225,-0.93,114.56,Positive,Energy,Low,Exxon Mobil,https://economictimes.indiatimes.com/news/economy/unemployment-rate,supply chain issues impact manufacturing sector earnings,9,Governance,0,0,2025,1.0
1552,1552,1552,1552,1552,2025-07-22,Real Estate sector shows signs of overheating as interest rates fall,Barron's,Human Rights Allegation,S&P 500,-0.92,315.27,Negative,Healthcare,Medium,Intel,https://www.ft.com/content/consumer-confidence-report,real estate sector shows signs of overheating as interest rates fall,3,Social,1,1,2025,-1.0
1553,1553,1553,1553,1553,2025-06-19,Geopolitical ceasefire prompts a broad market recovery,Business Standard,Antitrust Investigation,S&P/TSX Composite,3.78,309.67,Positive,Finance,Medium,Ford Motor Company,https://www.wsj.com/japan/economic-data-release,geopolitical ceasefire prompts a broad market recovery,18,Governance,1,1,2025,1.0
1554,1554,1554,1554,1554,2025-03-13,Government spending bill is expected to stimulate the economy,Reuters,Regulatory Compliance Failure,S&P/TSX Composite,-4.97,468.51,Positive,Construction,Medium,Intel,https://www.wsj.com/europe/regulatory-changes,government spending bill is expected to stimulate the economy,10,Governance,1,1,2025,1.0
1555,1555,1555,1555,1555,2025-07-07,Utilities sector remains stable during market fluctuations,The Motley Fool,Antitrust Investigation,KOSPI,-0.83,313.21,Positive,Materials,Medium,Chevron Corporation,https://www.bloomberg.com/asia/telecommunications-news,utilities sector remains stable during market fluctuations,14,Governance,1,1,2025,1.0
1556,1556,1556,1556,1556,2025-02-04,Banking stocks dip after a major scandal is revealed,Times of India,Executive Misconduct,IBOVESPA,-0.03,211.73,Negative,Retail,Low,Ford Motor Company,https://www.bloomberg.com/asia/telecommunications-news,banking stocks dip after a major scandal is revealed,1,Governance,0,0,2025,-1.0
1557,1557,1557,1557,1557,2025-06-25,,Mint,Antitrust Investigation,DAX,3.58,299.03,Neutral,Healthcare,Low,JPMorgan Chase,https://www.forbes.com/finance/geopolitical-event-impact,,6,Governance,0,0,2025,0.0
1558,1558,1558,1558,1558,2025-04-10,Retail sales report surpasses all forecasts,Business Standard,Regulatory Compliance Failure,Nasdaq Composite,2.17,152.21,Negative,Transportation,Low,JPMorgan Chase,https://www.bloomberg.com/middle-east/news/bond-market-fluctuation,retail sales report surpasses all forecasts,11,Governance,0,0,2025,-1.0
1559,1559,1559,1559,1559,2025-08-09,Federal Reserve Chairman's speech causes market volatility,Times of India,Accounting Fraud Investigation,KOSPI,3.9,293.81,Neutral,Media & Entertainment,Medium,Chevron Corporation,https://economictimes.indiatimes.com/stocks/bse-sensex-plunges,federal reserve chairman's speech causes market volatility,6,Governance,1,1,2025,0.0
1560,1560,1560,1560,1560,2025-02-10,Manufacturing PMI data signals economic expansion,Business Standard,Antitrust Investigation,TSX,,438.12,Negative,Technology,High,JPMorgan Chase,https://www.business-standard.com/economy/economic-stimulus,manufacturing pmi data signals economic expansion,15,Governance,2,1,2025,-1.0
1561,1561,1561,1561,1561,2025-05-26,Real Estate sector shows signs of overheating as interest rates fall,Times of India,Executive Misconduct,S&P 500,-1.32,468.55,Neutral,Energy,Medium,Intel,https://www.ft.com/content/geopolitical-summit,real estate sector shows signs of overheating as interest rates fall,0,Governance,1,1,2025,0.0
1562,1562,1562,1562,1562,2025-07-31,Manufacturing PMI data signals economic expansion,Financial Times,Product Safety Recall,FTSE 100,,373.98,Positive,Construction,Low,General Motors,https://timesofindia.indiatimes.com/business/corporate-governance,manufacturing pmi data signals economic expansion,3,Social,0,0,2025,1.0
1563,1563,1563,1563,1563,2025-08-04,Gold prices surge as investors flee riskier assets,Seeking Alpha,Regulatory Compliance Failure,Euro Stoxx 50,-1.05,41.5,,Industrials,Medium,Intel,https://economictimes.indiatimes.com/news/economy/unemployment-rate,gold prices surge as investors flee riskier assets,11,Governance,1,1,2025,
1564,1564,1564,1564,1564,2025-04-13,Consumer Discretionary stocks outperform as spending increases,The Economist,Accounting Fraud Investigation,Nasdaq Composite,-2.75,212.41,Negative,Healthcare,High,Chevron Corporation,https://timesofindia.indiatimes.com/business/corporate-governance,consumer discretionary stocks outperform as spending increases,4,Governance,2,1,2025,-1.0
1565,1565,1565,1565,1565,2025-04-10,New housing data release shows a slowdown in market activity,The Motley Fool,Human Rights Allegation,BSE Sensex,0.55,276.21,Positive,Agriculture,Medium,Bank of America,https://www.business-standard.com/economy/economic-stimulus,new housing data release shows a slowdown in market activity,19,Social,1,1,2025,1.0
1566,1566,1566,1566,1566,2025-05-16,New housing data release shows a slowdown in market activity,CNBC,Human Rights Allegation,ASX 200,-1.32,271.52,Positive,Telecommunications,Low,Apple Inc.,https://www.cnbc.com/2025/11/major-merger-deal-approved,new housing data release shows a slowdown in market activity,17,Social,0,0,2025,1.0
1567,1567,1567,1567,1567,2025-04-29,Government spending bill is expected to stimulate the economy,Yahoo Finance,Antitrust Investigation,TSX,-4.98,223.04,Positive,Construction,Low,General Motors,https://www.reuters.com/business/retail-sector-earnings,government spending bill is expected to stimulate the economy,6,Governance,0,0,2025,1.0
1568,1568,1568,1568,1568,2025-06-07,Unexpected rise in unemployment fuels market pessimism,Economic Times,Regulatory Compliance Failure,FTSE 100,1.03,316.72,Positive,Healthcare,Medium,Ford Motor Company,https://www.forbes.com/finance/geopolitical-event-impact,unexpected rise in unemployment fuels market pessimism,11,Governance,1,1,2025,1.0
1569,1569,1569,1569,1569,2025-07-17,Federal Reserve Chairman's speech causes market volatility,Financial Times,Antitrust Investigation,S&P 500,-2.94,459.12,Positive,Materials,Medium,Exxon Mobil,https://www.cnbc.com/2025/09/automotive-industry-trends,federal reserve chairman's speech causes market volatility,12,Governance,1,1,2025,1.0
1570,1570,1570,1570,1570,2025-03-30,Tech Giant's New Product Launch Sparks Sector-Wide Gains,Seeking Alpha,Accounting Fraud Investigation,KOSPI,-3.48,271.62,Neutral,Telecommunications,Low,Ford Motor Company,https://timesofindia.indiatimes.com/business/corporate-governance,tech giant's new product launch sparks sector wide gains,4,Governance,0,0,2025,0.0
1571,1571,1571,1571,1571,2025-05-14,Energy company's dividend hike excites shareholders,The Hindu Business Line,Worker Strike,Dow Jones,-2.64,461.4,Negative,Pharmaceuticals,High,Chevron Corporation,https://www.business-standard.com/finance/corporate-earnings,energy company's dividend hike excites shareholders,3,Social,2,1,2025,-1.0
1572,1572,1572,1572,1572,2025-02-22,Crude oil prices drop to a multi-year low,Financial Times,Antitrust Investigation,KOSPI,2.12,188.15,Neutral,Pharmaceuticals,Medium,General Motors,https://economictimes.indiatimes.com/news/transportation,crude oil prices drop to a multi year low,15,Governance,1,1,2025,0.0
1573,1573,1573,1573,1573,2025-07-19,UK's FTSE 100 sees a boost from favorable trade data,Yahoo Finance,Antitrust Investigation,CAC 40,,281.6,Neutral,Utilities,Low,Ford Motor Company,https://www.reuters.com/markets/indices/ftse-100,uk's ftse 100 sees a boost from favorable trade data,1,Governance,0,0,2025,0.0
1574,1574,1574,1574,1574,2025-02-23,Manufacturing PMI data signals economic expansion,Yahoo Finance,Antitrust Investigation,IBOVESPA,-3.95,498.21,Negative,Utilities,High,JPMorgan Chase,https://www.bloomberg.com/asia/policy/central-bank-meeting,manufacturing pmi data signals economic expansion,1,Governance,2,1,2025,-1.0
1575,1575,1575,1575,1575,2025-06-16,Major technology firm acquires a smaller rival in a multi-billion dollar deal,The Economist,Product Safety Recall,KOSPI,1.0,249.31,Negative,Real Estate,High,Intel,https://www.wsj.com/china/market-regulation,major technology firm acquires a smaller rival in a multi billion dollar deal,3,Social,2,1,2025,-1.0
1576,1576,1576,1576,1576,2025-07-20,A massive data breach sends a tech company's stock tumbling,Mint,Accounting Fraud Investigation,Nasdaq Composite,2.21,68.4,,Energy,Medium,Chevron Corporation,https://www.reuters.com/business/retail-sector-earnings,a massive data breach sends a tech company's stock tumbling,16,Governance,1,1,2025,
